,date,open,close,high,low,volume,code
0,2015-12-31,3570.47,3539.18,3580.6,3538.35,176963659.0,sh000001
1,2016-01-04,3536.59,3296.66,3538.69,3295.74,184418423.0,sh000001
2,2016-01-05,3196.65,3287.71,3328.14,3189.6,266882083.0,sh000001
3,2016-01-06,3291.19,3361.84,3362.97,3288.93,238886670.0,sh000001
4,2016-01-07,3309.66,3125.0,3309.66,3115.89,70569123.0,sh000001
5,2016-01-08,3194.63,3186.41,3235.45,3056.88,286440822.0,sh000001
6,2016-01-11,3131.85,3016.7,3166.22,3016.7,271643691.0,sh000001
7,2016-01-12,3026.16,3022.86,3047.66,2978.46,207659622.0,sh000001
8,2016-01-13,3041.11,2949.6,3059.01,2949.29,194282106.0,sh000001
9,2016-01-14,2874.05,3007.65,3012.29,2867.55,212905644.0,sh000001
10,2016-01-15,2988.05,2900.97,3001.71,2883.87,198721697.0,sh000001
11,2016-01-18,2847.54,2913.84,2945.45,2844.7,164699694.0,sh000001
12,2016-01-19,2914.41,3007.74,3012.07,2906.4,205279703.0,sh000001
13,2016-01-20,2993.01,2976.69,3016.28,2951.92,216505474.0,sh000001
14,2016-01-21,2934.39,2880.48,2998.79,2880.08,191675668.0,sh000001
15,2016-01-22,2911.11,2916.56,2931.36,2851.73,159810734.0,sh000001
16,2016-01-25,2934.08,2938.51,2955.78,2911.83,153039057.0,sh000001
17,2016-01-26,2907.72,2749.79,2911.99,2743.84,210836054.0,sh000001
18,2016-01-27,2756.08,2735.56,2768.77,2638.3,215722046.0,sh000001
19,2016-01-28,2711.16,2655.66,2740.54,2647.49,171120280.0,sh000001
20,2016-01-29,2652.85,2737.6,2755.37,2649.79,186673106.0,sh000001
21,2016-02-01,2730.98,2688.85,2735.26,2655.62,156383744.0,sh000001
22,2016-02-02,2687.98,2749.57,2755.16,2687.98,158078211.0,sh000001
23,2016-02-03,2719.57,2739.25,2746.07,2696.88,148397217.0,sh000001
24,2016-02-04,2751.43,2781.02,2793.3,2751.31,170382018.0,sh000001
25,2016-02-05,2783.08,2763.49,2790.06,2762.16,141186284.0,sh000001
26,2016-02-15,2684.96,2746.2,2760.36,2682.09,129263932.0,sh000001
27,2016-02-16,2758.58,2836.57,2840.62,2758.58,195961614.0,sh000001
28,2016-02-17,2829.76,2867.34,2868.7,2824.36,216909925.0,sh000001
29,2016-02-18,2881.78,2862.89,2893.21,2857.7,219203873.0,sh000001
30,2016-02-19,2854.9,2860.02,2872.72,2840.49,163391413.0,sh000001
31,2016-02-22,2888.6,2927.18,2933.96,2880.35,232176042.0,sh000001
32,2016-02-23,2925.71,2903.33,2928.05,2872.28,199740663.0,sh000001
33,2016-02-24,2889.88,2928.9,2929.87,2872.27,213410384.0,sh000001
34,2016-02-25,2922.24,2741.25,2922.24,2729.85,270284416.0,sh000001
35,2016-02-26,2760.06,2767.21,2784.75,2715.87,191110472.0,sh000001
36,2016-02-29,2754.81,2687.98,2755.89,2638.96,207410709.0,sh000001
37,2016-03-01,2688.38,2733.17,2747.56,2668.76,187207443.0,sh000001
38,2016-03-02,2733.77,2849.68,2852.7,2732.54,270961783.0,sh000001
